n_features,roc_auc,lift@1%,lift@5%,lift@10%,var_eliminada
423,0.7270339747438597,5.407076586181064,4.324739149723162,3.288428476438069,uni_cliente_fijo
422,0.7280073159866796,5.407076586181064,3.694048023721867,3.378522407299386,uni_cliente_movil
421,0.7339986463127162,4.956486870665976,3.5138505591500686,3.513663303591361,uni_cliente_tv
420,0.7302490661557223,5.8576663016961525,3.874245488293665,3.513663303591361,uni_cliente_segmento_GRAN CUENTA
419,0.7328436214335935,4.956486870665976,3.7841467560077664,3.55871026902202,uni_cliente_segmento_PROFESIONAL
418,0.7308094856738128,5.8576663016961525,3.5138505591500686,3.2433815110074105,uni_cliente_segmento_PYME
417,0.726394681456676,6.308256017211241,3.694048023721867,3.198334545576752,uni_cliente_segmento_RESIDENCIAL
416,0.7275336047436924,4.505897155150887,3.7841467560077664,3.3334754418687274,uni_lineas_fijo_cliente
415,0.7246835027797596,6.75884573272633,4.054442952865465,3.1532875801460936,uni_lineas_movil_cliente
414,0.7281832559207236,5.8576663016961525,3.5138505591500686,3.198334545576752,flag_ilim_megas_cli
413,0.7268227555005443,5.8576663016961525,3.2435543622923717,3.288428476438069,axe_perfilhijos_null
412,0.7308644113286765,4.956486870665976,3.7841467560077664,3.3334754418687274,dias_ult_llam_cab_tit
411,0.7265850767752751,5.8576663016961525,3.694048023721867,3.3334754418687274,axe_tipofamilia_Parejas Senior Sin Hijos
410,0.7236225881016636,6.75884573272633,3.6039492914359683,3.4235693727300442,axe_tipofamilia_Parejas Jubiladas
409,0.7319158693254384,4.956486870665976,3.964344220579565,3.378522407299386,conn_fix_flag_config_defec_naveg_fij_dm7_cli
408,0.7333179815467104,4.956486870665976,3.964344220579565,3.513663303591361,axe_perfilnucleo_Senior
407,0.7287918961023381,4.956486870665976,4.1445416851513635,3.1532875801460936,flag_config_defec_naveg_fij_cli_dm7
406,0.7285406031204597,5.407076586181064,3.42375182686417,3.3334754418687274,axe_perfilhijos_Sin Hijos
405,0.724198796792909,4.505897155150887,3.874245488293665,3.198334545576752,axe_nucleo_Pareja
404,0.7277671379098,4.956486870665976,3.3336530945782705,3.108240614715435,ratio_precio_min_cos_mov_cli
403,0.7244200855393476,6.308256017211241,3.874245488293665,3.378522407299386,flag_ilim_min_voz_cli
402,0.7285897129763836,5.8576663016961525,3.694048023721867,3.288428476438069,conn_fix_num_disp_mc_naveg_fij_dm7_cli
401,0.7310772407312026,6.308256017211241,3.6039492914359683,3.468616338160703,trf_pct_lineas_mov_con_exceso_mb
400,0.7273670013298473,5.407076586181064,3.694048023721867,3.513663303591361,min_ratio_cc_min_mov_cli
399,0.7308653245533033,6.308256017211241,3.6039492914359683,3.3334754418687274,axe_nucleo_Single
398,0.72926435766952,6.308256017211241,3.6039492914359683,3.513663303591361,axe_nucleo_null
397,0.7284032829752435,6.75884573272633,3.42375182686417,3.4235693727300442,conn_fix_num_alarm_ont_fij_dm7_cli
396,0.7280861897557729,4.956486870665976,3.7841467560077664,3.55871026902202,axe_perfilnucleo_Adulto
395,0.7302177521639097,5.8576663016961525,3.42375182686417,3.378522407299386,conn_fix_num_alarm_no_soluc_ont_fij_dm7_cli
394,0.7256804677017443,5.407076586181064,3.874245488293665,3.378522407299386,gem_max_saltos
393,0.7259854006143407,5.407076586181064,3.5138505591500686,3.6488041998833367,axe_tipofamilia_Jubilado con Hijos
392,0.727996104952773,5.8576663016961525,3.5138505591500686,3.288428476438069,conn_fix_num_disp_naveg_fij_dm7_cli
391,0.7242626504201122,4.505897155150887,4.1445416851513635,3.603757234452678,conn_fix_num_cortes_optic_naveg_fij_dm7_cli
390,0.7304619195904755,5.407076586181064,3.5138505591500686,3.198334545576752,flag_ppotro_crm_dm7
389,0.7309668246641401,4.956486870665976,3.6039492914359683,3.4235693727300442,ros_duration_lowi
388,0.7271653949773416,4.956486870665976,3.6039492914359683,3.2433815110074105,axe_nucleo_Monoparental
387,0.7318372238625017,5.8576663016961525,3.964344220579565,3.2433815110074105,conn_fix_num_repetidores_naveg_fij_dm7_cli
386,0.7283555309401465,4.956486870665976,3.5138505591500686,3.513663303591361,conn_fix_oe_estado_ont_fij_dm7_cli
385,0.7247934502183954,4.956486870665976,4.054442952865465,3.4235693727300442,axe_tipofamilia_Parejas Jovenes DINKIS
384,0.7285161262972356,5.8576663016961525,3.5138505591500686,3.198334545576752,trf_nro_lineas_exceso_mb
383,0.7258728576951863,6.75884573272633,3.964344220579565,3.3334754418687274,ros_duration_vodafone
382,0.7321149162457663,6.308256017211241,3.7841467560077664,3.378522407299386,crm_whatsapp_max_churn_dm7
381,0.7331013790845413,5.407076586181064,3.2435543622923717,3.3334754418687274,flag_ppaten_crm_dm7
380,0.7288952226624286,5.8576663016961525,3.2435543622923717,3.288428476438069,ros_duration_llamaya
379,0.7285875981404055,5.407076586181064,3.694048023721867,3.108240614715435,axe_tipofamilia_Familia Estandar Senior
378,0.7286719873056009,6.75884573272633,3.2435543622923717,3.513663303591361,con_min_ratio_fallos_sms_mov_lin_dm7
377,0.7280733685626555,6.308256017211241,3.6039492914359683,3.288428476438069,axe_tipofamilia_Familia Estandar Joven
376,0.7270800565391787,5.407076586181064,3.694048023721867,3.198334545576752,btl_xsell_num_envios_last6months
375,0.7322663192760186,6.75884573272633,3.874245488293665,3.198334545576752,ros_duration_lebara
374,0.7240948934593698,6.75884573272633,3.7841467560077664,3.2433815110074105,axe_tipofamilia_null
373,0.7310907228105632,5.8576663016961525,4.234640417437263,3.378522407299386,num_llam_meco_60d
372,0.73022582699219,5.407076586181064,3.2435543622923717,3.468616338160703,gem_num_devices
371,0.7283858355784241,6.75884573272633,3.964344220579565,3.4235693727300442,min_avg_sdb_30d_remedy
370,0.7267328749714738,7.660025163756507,3.6039492914359683,3.378522407299386,btl_llaa_num_envios_last6months
369,0.7276251434964276,5.8576663016961525,3.7841467560077664,3.198334545576752,dias_ult_llam_meco
368,0.7329655369212872,5.8576663016961525,3.874245488293665,3.3334754418687274,max_avg_sdb_30d_remedy
367,0.7298067770495693,6.308256017211241,4.1445416851513635,3.378522407299386,dns_cat_education_wknd_numbersessionsinferred
366,0.7245412079635495,5.407076586181064,3.694048023721867,3.468616338160703,num_disp_mc_naveg_fij_cli_dm7
365,0.7291066101313333,6.308256017211241,3.964344220579565,3.3334754418687274,num_llam_cam_tit_60d
364,0.7275150638805433,6.308256017211241,3.6039492914359683,3.693851165313995,axe_tipofamilia_Familiares
363,0.7294660601509338,5.407076586181064,3.3336530945782705,3.3334754418687274,axe_tipofamilia_Familia Estandar Jubilada
362,0.7263471216793951,5.8576663016961525,3.6039492914359683,3.378522407299386,dns_juegos_wknd_maxdurationinferred
361,0.7307065195971275,4.956486870665976,3.964344220579565,3.603757234452678,num_eventos_remedy
360,0.724238173596888,5.407076586181064,3.5138505591500686,3.2433815110074105,ros_sna_pct_lines_cli_conectados_max_node
359,0.7289861726256015,5.8576663016961525,3.3336530945782705,3.3334754418687274,dns_cat_education_wknd_maxdurationinferred
358,0.732859098187797,6.308256017211241,3.964344220579565,3.468616338160703,ros_duration_republica_movil
357,0.7299760600567275,7.660025163756507,3.874245488293665,3.55871026902202,axe_perfilnucleo_null
356,0.7258589069873989,6.308256017211241,3.694048023721867,3.3334754418687274,dns_cat_education_no_wknd_maxdurationinferred
355,0.7299346044651109,4.956486870665976,3.964344220579565,3.783945096175312,num_cortes_optic_naveg_fij_cli_dm7
354,0.7283851266277267,5.8576663016961525,3.3336530945782705,3.198334545576752,flag_ppfide_crm_dm7
353,0.7258498588539242,5.8576663016961525,3.694048023721867,3.3334754418687274,dias_ult_evento_remedy
352,0.7284442699384333,6.308256017211241,3.6039492914359683,3.288428476438069,ros_sna_num_nodes_jzz
351,0.7273860829181045,5.8576663016961525,3.964344220579565,3.2433815110074105,axe_nucleo_Compartidos / Otros/ Mix
350,0.7260317227319297,5.8576663016961525,3.6039492914359683,3.1532875801460936,ros_lin_qt_lineas
349,0.7299741735269063,4.956486870665976,3.7841467560077664,3.55871026902202,max_ratio_cc_min_mov_cli
348,0.724715729996199,5.407076586181064,3.7841467560077664,3.378522407299386,ros_duration_tuenti
347,0.729809000030569,6.75884573272633,3.7841467560077664,3.378522407299386,con_max_ratio_fallos_sms_mov_lin_dm7
346,0.7273332961314458,5.8576663016961525,3.6039492914359683,3.603757234452678,oe_alarm_ont_fij_cli_dm7
345,0.7254070290226632,5.407076586181064,3.694048023721867,3.288428476438069,con_num_sms_env_mov_lin_dm7
344,0.7258332165367101,5.8576663016961525,3.063356897720573,3.2433815110074105,oe_veloc_limit_naveg_mov_cli_dm7
343,0.7258472153089515,4.956486870665976,3.7841467560077664,3.378522407299386,max_ratio_llam_caidas_mov_cli_dm7
342,0.7322540508241228,4.505897155150887,3.694048023721867,3.468616338160703,num_alarm_no_soluc_ont_fij_cli_dm7
341,0.7244345409239026,4.956486870665976,3.3336530945782705,3.198334545576752,uni_num_lines_minutos_disponibles_ilimitados
340,0.7279094928065778,5.8576663016961525,4.054442952865465,3.378522407299386,oe_estado_ont_fij_cli_dm7
339,0.7282491402711104,5.407076586181064,3.6039492914359683,3.3334754418687274,ros_duration_masmovil
338,0.7295830249998605,5.407076586181064,3.063356897720573,3.378522407299386,con_min_ratio_llam_caidas_mov_lin_dm7
337,0.7284360869651314,7.209435448241418,3.6039492914359683,3.468616338160703,ros_duration_movistar
336,0.723799849808194,4.956486870665976,4.054442952865465,3.3334754418687274,crm_whatsapp_sum_weighted_churn_dm45
335,0.728739613992447,5.8576663016961525,4.1445416851513635,3.288428476438069,min_cp_importe_fin_cli
334,0.7296421202461131,5.8576663016961525,3.964344220579565,3.288428476438069,uni_num_lines_pct_minutes_mayor_70
333,0.7301715141591152,5.8576663016961525,4.054442952865465,3.4235693727300442,uni_flag_contactos_linea_1m
332,0.7353969374098912,5.8576663016961525,3.7841467560077664,3.378522407299386,uni_ratio_consumo_contratado_minutos
331,0.7225250603256963,6.308256017211241,4.054442952865465,3.288428476438069,uni_num_llamadas_importe
330,0.72657510340106,4.956486870665976,3.964344220579565,3.288428476438069,conn_fix_oe_alarm_ont_fij_dm7_cli
329,0.7226598330548479,5.8576663016961525,3.42375182686417,3.4235693727300442,crm_eventos_in_num_eventos
328,0.7311033877942049,6.75884573272633,3.063356897720573,3.288428476438069,lb_nro_consolas
327,0.7329026565992782,5.8576663016961525,3.6039492914359683,3.603757234452678,trf_nro_lineas_exceso_mins
326,0.7262831599071702,5.8576663016961525,3.694048023721867,3.198334545576752,crm_eventos_in_dias_ult_evento
325,0.7233782404333953,5.8576663016961525,3.5138505591500686,3.4235693727300442,sum_pond_avg_sdb_30d_remedy
324,0.7329868535066577,5.407076586181064,3.5138505591500686,3.4235693727300442,ros_duration_ono
323,0.728155714988554,6.308256017211241,3.2435543622923717,3.198334545576752,crm_whatsapp_max_churn_dm45
322,0.730883312675231,5.8576663016961525,3.5138505591500686,3.603757234452678,axe_tipofamilia_Resto
321,0.7308507249753862,6.308256017211241,3.3336530945782705,3.0631936492847767,uni_min_ratio_consumo_contratado_movil_minutes
320,0.7265074286497598,5.407076586181064,3.964344220579565,3.2433815110074105,uni_cobertura_ftth_neba
319,0.7305648856671605,7.660025163756507,3.694048023721867,3.288428476438069,num_eventos_abier_remedy
318,0.7248730810026399,7.209435448241418,3.7841467560077664,3.6488041998833367,btl_xsell_dias_ultima_comunicacion
317,0.7302689528235848,5.8576663016961525,3.964344220579565,3.513663303591361,axe_perfilhijos_Menores
316,0.7284074045021782,4.956486870665976,3.6039492914359683,3.2433815110074105,uni_pct_lines_minutos_disponibles_ilimitados
315,0.7255519073032785,5.8576663016961525,3.5138505591500686,3.4235693727300442,axe_tipofamilia_Singles
314,0.727926183188246,5.407076586181064,3.874245488293665,3.468616338160703,min_cp_dias_fin_cli
313,0.7231616259551128,4.505897155150887,3.3336530945782705,3.018146683854118,axe_perfilnucleo_Jubilado 
312,0.7275756010604172,5.8576663016961525,3.42375182686417,3.288428476438069,con_num_fallos_sms_env_mov_lin_dm7
311,0.7290906407164757,6.308256017211241,3.3336530945782705,3.2433815110074105,axe_tipofamilia_Familia Monoparentales con Hijos
310,0.7257314881197167,5.8576663016961525,3.694048023721867,3.468616338160703,uni_dif_lineas_max
309,0.726589510721161,7.209435448241418,3.3336530945782705,3.378522407299386,max_ratio_naveg_2g_mov_cli_dm7
308,0.7271104332741372,4.956486870665976,4.234640417437263,3.288428476438069,num_repetidores_naveg_fij_dm7
307,0.7252787449948082,7.209435448241418,3.6039492914359683,3.513663303591361,con_min_ratio_llam_no_estab_mov_lin_dm7
306,0.7240103721169259,5.407076586181064,3.5138505591500686,3.1532875801460936,axe_nucleo_Familiares
305,0.7294398409912506,7.209435448241418,3.6039492914359683,3.693851165313995,uni_comp_lineas_oo
304,0.7288298790371498,4.956486870665976,3.5138505591500686,3.2433815110074105,dias_sig_cierre_central_cli
303,0.731878198809578,5.8576663016961525,3.5138505591500686,3.4235693727300442,axe_perfilhijos_No Emancipados
302,0.7338856107329079,6.75884573272633,3.694048023721867,3.0631936492847767,crm_whatsapp_num_events_dm45_churn_010
301,0.7278375763672078,6.308256017211241,3.42375182686417,3.4235693727300442,uni_ppfide_dm7
300,0.7272336705343172,4.956486870665976,3.42375182686417,3.378522407299386,uni_lineas_fijo_sdb_3m
299,0.7259026336244694,6.75884573272633,3.5138505591500686,3.2433815110074105,flag_pporta_crm_dm7
298,0.7295404158613467,6.308256017211241,3.1534556300064724,3.4235693727300442,uni_dias_ult_xsell
297,0.7289197835984472,6.308256017211241,3.42375182686417,3.468616338160703,uni_num_lines_pct_mb_mayor_70
296,0.7218163379346397,5.407076586181064,3.3336530945782705,3.3334754418687274,uni_bono_adicional_mb_cli
295,0.7338004525364478,4.505897155150887,3.6039492914359683,3.3334754418687274,axe_perfilnucleo_Joven
294,0.7299448421938232,6.308256017211241,3.874245488293665,3.1532875801460936,uni_flag_deposito_mb
293,0.7301715982719098,4.956486870665976,3.694048023721867,3.198334545576752,dns_cat_education_no_wknd_numbersessionsinferred
292,0.7311983150909505,5.407076586181064,3.874245488293665,3.4235693727300442,prob_cond_avg_sdb_30d_remedy
291,0.7285194066962244,6.308256017211241,3.5138505591500686,3.378522407299386,axe_tipofamilia_Viudos
290,0.7251331697796091,5.8576663016961525,3.7841467560077664,3.378522407299386,uni_importe_fuera_tarifa_cli
